	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_01.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_02.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d	C:\Users\Host\Downloads\chuze_03.c3d
	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	36.83	2.09	-1.76	0.70	5.53	1.50	33.91	2.41	2.37	1.69	4.33	1.93	8.06	0.97	-0.18	0.59	-27.32	1.86	67.44	1.18	-10.18	0.56	-5.12	0.84	2.34	0.52	2.82	0.19	-31.86	1.41	70.21	1.78	-7.61	0.35	-12.84	0.78	34.84	-1.08	3.81	32.50	3.39	4.99	7.23	-0.86	-26.46	68.43	-10.09	-4.99	2.93	2.63	-31.06	70.85	-7.37	-12.02	36.63	-1.71	6.26	32.55	3.31	5.85	9.13	0.14	-26.05	67.75	-10.77	-6.02	2.12	3.02	-31.03	71.58	-7.45	-13.58	39.01	-2.48	6.53	36.70	0.42	2.16	7.83	0.18	-29.45	66.13	-9.67	-4.36	1.97	2.80	-33.48	68.19	-8.02	-12.92
2	36.66	2.08	-1.22	0.74	4.35	1.46	33.57	2.69	3.09	1.68	4.26	1.37	9.41	1.26	-0.04	0.70	-26.38	1.70	66.45	1.57	-10.06	0.82	-4.22	1.04	3.33	0.20	2.28	0.22	-31.79	1.78	68.89	2.18	-7.86	0.22	-11.96	1.02	34.62	-0.52	2.68	31.82	4.12	4.59	8.42	-0.85	-25.37	67.71	-10.14	-4.29	3.56	2.24	-30.85	69.68	-7.67	-11.08	36.59	-1.16	5.35	32.22	4.00	5.43	10.83	0.35	-25.41	66.97	-10.84	-5.22	3.16	2.52	-30.67	70.57	-7.81	-13.08	38.77	-1.99	5.01	36.67	1.15	2.75	8.99	0.37	-28.34	64.69	-9.20	-3.14	3.28	2.10	-33.84	66.44	-8.10	-11.73
3	36.32	2.08	-0.59	0.75	2.98	1.41	33.09	3.01	3.86	1.60	4.00	0.91	10.46	1.56	-0.08	0.77	-24.84	1.41	65.24	1.91	-9.78	1.17	-3.52	1.22	4.04	0.34	1.81	0.33	-31.10	1.96	67.32	2.42	-7.87	0.18	-11.19	1.32	34.22	0.12	1.45	31.00	4.87	4.12	9.23	-0.97	-23.81	66.70	-10.03	-3.76	3.79	1.93	-30.05	68.16	-7.73	-10.22	36.37	-0.54	4.23	31.73	4.70	4.84	12.20	0.39	-24.28	65.94	-10.80	-4.60	3.90	2.06	-29.90	69.21	-8.07	-12.69	38.38	-1.37	3.26	36.54	2.02	3.03	9.94	0.34	-26.45	63.07	-8.51	-2.19	4.43	1.44	-33.37	64.58	-7.80	-10.67
4	35.88	2.10	0.13	0.71	1.65	1.36	32.54	3.34	4.70	1.46	3.66	0.54	11.34	1.81	-0.26	0.81	-22.84	1.08	64.07	2.12	-9.27	1.53	-3.18	1.32	4.65	0.88	1.38	0.47	-29.88	1.95	65.84	2.44	-7.58	0.53	-10.69	1.59	33.73	0.83	0.32	30.14	5.66	3.70	9.82	-1.19	-21.87	65.64	-9.70	-3.55	3.91	1.67	-28.79	66.66	-7.49	-9.58	36.00	0.14	3.04	31.12	5.41	4.18	13.35	0.27	-22.65	64.91	-10.55	-4.29	4.43	1.63	-28.72	67.77	-8.16	-12.51	37.91	-0.58	1.57	36.36	3.02	3.10	10.85	0.13	-24.01	61.66	-7.57	-1.72	5.62	0.84	-32.13	63.10	-7.10	-9.98
5	35.39	2.12	0.95	0.61	0.52	1.27	31.98	3.63	5.62	1.24	3.40	0.25	12.25	2.01	-0.53	0.80	-20.68	0.80	63.20	2.15	-8.62	1.85	-3.23	1.33	5.38	1.44	1.00	0.59	-28.43	1.79	64.79	2.24	-7.12	0.99	-10.47	1.79	33.20	1.59	-0.54	29.35	6.53	3.51	10.43	-1.44	-19.84	64.75	-9.20	-3.67	4.21	1.43	-27.40	65.52	-7.03	-9.22	35.53	0.89	1.92	30.47	6.12	3.58	14.41	0.05	-20.75	64.12	-10.11	-4.28	4.96	1.23	-27.38	66.57	-8.15	-12.53	37.43	0.38	0.19	36.12	4.21	3.12	11.91	-0.19	-21.45	60.74	-6.54	-1.73	6.99	0.33	-30.49	62.27	-6.18	-9.68
6	34.86	2.13	1.87	0.48	-0.29	1.11	31.41	3.81	6.65	0.97	3.34	0.27	13.27	2.17	-0.81	0.77	-18.74	0.60	62.76	2.02	-7.98	2.09	-3.51	1.27	6.29	1.90	0.68	0.64	-27.10	1.53	64.29	1.92	-6.64	1.47	-10.45	1.94	32.68	2.41	-1.07	28.69	7.49	3.65	11.17	-1.68	-18.07	64.14	-8.68	-4.03	4.83	1.21	-26.23	64.96	-6.50	-9.08	34.96	1.70	0.97	29.79	6.88	3.18	15.49	-0.21	-18.92	63.69	-9.63	-4.44	5.60	0.87	-26.20	65.79	-8.17	-12.66	36.93	1.49	-0.79	35.77	5.59	3.18	13.15	-0.54	-19.24	60.44	-5.63	-2.06	8.45	-0.04	-28.86	62.13	-5.24	-9.60
