	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_04.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_05.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d	C:\Users\Host\Downloads\chuze_06.c3d
	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle	Left_Hip	Left_Hip	Left_Hip	Right_Hip	Right_Hip	Right_Hip	Left_knee	Left_knee	Left_knee	Left_ankle	Left_ankle	Left_ankle	Right_knee	Right_knee	Right_knee	Right_Ankle	Right_Ankle	Right_Ankle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	Y	Z	X	X	Y	Y	Z	Z	X	Y	Z	X	Y	Z	X	X	Y	Y	Z	Z	X	X	Y	Y	Z	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	33.15	0.99	-1.56	0.81	4.32	1.13	30.23	1.34	3.75	0.73	6.62	1.25	4.80	0.58	-0.39	0.24	-24.88	1.82	67.56	1.28	-9.65	1.73	-5.66	0.99	0.66	1.77	3.11	0.21	-29.97	1.64	70.38	1.03	-7.71	0.39	-13.36	0.51	33.33	-2.18	5.26	29.17	30.42	3.90	4.47	7.95	6.39	5.26	-0.15	-26.00	66.15	-11.27	-6.45	-0.36	2.67	3.06	2.94	-30.51	-31.26	70.30	71.81	-7.46	-8.29	-14.02	-13.17	32.08	-0.64	3.07	29.29	3.90	5.01	4.15	-0.63	-22.78	68.67	-9.86	-5.97	-1.21	3.42	-27.56	69.39	-7.47	-12.82	34.04	-1.84	4.62	32.06	2.73	7.13	4.98	-0.38	-25.85	67.86	-7.83	-4.55	1.55	3.02	-30.53	70.00	-7.60	-13.42
2	33.21	1.11	-0.99	0.70	4.20	0.98	29.83	1.50	4.47	0.61	6.68	1.11	6.42	0.79	-0.08	0.26	-25.32	1.78	66.71	1.14	-9.97	1.84	-4.79	1.11	1.50	2.01	2.76	0.32	-30.50	1.73	69.23	1.13	-8.19	0.42	-12.45	0.52	33.49	-1.51	4.94	28.48	30.02	4.49	5.09	7.85	6.33	7.05	0.17	-26.35	65.50	-11.65	-5.47	0.04	3.63	2.68	2.51	-31.27	-31.87	68.95	70.82	-7.98	-8.76	-13.05	-12.37	31.99	-0.20	3.09	28.94	4.66	5.30	5.53	-0.35	-23.26	67.77	-10.24	-5.38	-0.45	3.23	-27.97	68.13	-7.79	-11.79	34.16	-1.26	4.58	31.86	3.63	7.22	6.68	-0.05	-26.35	66.86	-8.00	-3.51	2.77	2.62	-30.89	69.01	-8.24	-12.57
3	33.16	1.21	-0.35	0.58	4.01	0.77	29.28	1.67	5.23	0.48	6.65	0.89	7.87	0.94	0.22	0.21	-25.41	1.53	65.59	1.07	-10.14	2.01	-4.03	1.31	2.09	2.23	2.42	0.39	-30.54	1.55	67.82	1.23	-8.42	0.44	-11.56	0.60	33.46	-0.76	4.47	27.60	29.52	5.12	5.69	7.63	6.13	8.55	0.37	-26.10	64.51	-11.91	-4.70	0.09	4.31	2.32	2.07	-31.37	-31.80	67.32	69.54	-8.24	-8.85	-12.08	-11.70	31.83	0.31	3.12	28.51	5.51	5.69	6.80	-0.03	-23.65	66.64	-10.55	-4.87	0.26	2.98	-28.32	66.68	-7.88	-10.69	34.19	-0.61	4.44	31.49	4.60	7.12	8.26	0.32	-26.47	65.63	-7.96	-2.53	3.71	2.29	-30.66	67.73	-8.70	-11.75
4	32.99	1.29	0.35	0.46	3.75	0.53	28.67	1.83	6.03	0.37	6.59	0.65	9.18	1.04	0.45	0.18	-24.91	1.12	64.46	1.02	-10.01	2.19	-3.60	1.53	2.60	2.47	2.07	0.42	-29.98	1.17	66.44	1.33	-8.26	0.49	-10.86	0.78	33.22	0.07	3.89	26.63	28.99	5.82	6.28	7.36	5.93	9.81	0.43	-25.04	63.47	-11.81	-4.37	0.02	4.93	1.98	1.64	-30.73	-31.04	65.74	68.31	-8.12	-8.47	-11.31	-11.31	31.60	0.88	3.17	28.06	6.39	6.20	7.98	0.29	-23.74	65.50	-10.65	-4.60	0.97	2.65	-28.45	65.29	-7.65	-9.70	34.14	0.09	4.21	31.01	5.61	6.88	9.75	0.63	-25.96	64.42	-7.57	-1.84	4.48	2.01	-29.72	66.42	-8.80	-11.12
5	32.70	1.36	1.11	0.36	3.49	0.38	28.07	1.98	6.86	0.32	6.61	0.57	10.45	1.14	0.60	0.26	-23.84	0.85	63.60	0.94	-9.55	2.38	-3.56	1.74	3.23	2.71	1.73	0.42	-28.98	0.85	65.40	1.42	-7.76	0.59	-10.46	1.01	32.82	0.96	3.31	25.71	28.48	6.59	6.92	7.18	5.84	10.96	0.37	-23.24	62.72	-11.30	-4.54	0.11	5.71	1.66	1.23	-29.56	-29.84	64.56	67.41	-7.71	-7.71	-10.85	-11.25	31.29	1.52	3.23	27.63	7.30	6.82	9.14	0.55	-23.47	64.58	-10.52	-4.59	1.83	2.24	-28.31	64.26	-7.11	-8.97	34.00	0.85	3.93	30.47	6.64	6.60	11.23	0.88	-24.81	63.48	-6.84	-1.56	5.27	1.77	-28.19	65.39	-8.53	-10.76
6	32.30	1.43	1.95	0.27	3.25	0.43	27.54	2.06	7.75	0.32	6.79	0.73	11.74	1.26	0.66	0.41	-22.42	1.20	63.14	0.80	-8.88	2.59	-3.84	1.91	4.11	2.88	1.41	0.38	-27.77	0.94	64.89	1.47	-7.03	0.69	-10.33	1.22	32.28	1.91	2.81	24.94	28.02	7.46	7.64	7.24	5.96	12.12	0.22	-21.05	62.43	-10.50	-5.09	0.59	6.69	1.39	0.90	-28.21	-28.52	63.99	66.98	-7.10	-6.76	-10.69	-11.40	30.88	2.24	3.29	27.27	8.21	7.54	10.33	0.74	-22.95	64.02	-10.25	-4.79	2.93	1.79	-27.94	63.75	-6.33	-8.57	33.75	1.69	3.65	29.93	7.70	6.41	12.77	1.03	-23.26	62.98	-5.89	-1.64	6.22	1.56	-26.40	64.83	-7.95	-10.66
